stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2035,,Cavarzere (ponte),,45.139194,12.081579,,,,,,
2036,,Cavarzere (ponte),,45.139084,12.081537,,,,,,
2037,,Argine SN bivio S.R. 516,,45.141361,12.071306,,,,,,
2038,,Argine sn bivio S.R. 516,,45.141586,12.071183,,,,,,
2039,,Pontenovo,,45.142071,12.070729,,,,,,
2040,,Incr. via Trieste,,45.142780,12.083400,,,,,,
2041,,Villaggio Busonera,,45.143047,12.095500,,,,,,
2042,,Boscochiaro,,45.139954,12.115326,,,,,,
2044,,Capitello,,45.139019,12.107971,,,,,,
2045,,Prima del ponte,,45.141521,12.096963,,,,,,
2046,,Ca' Venier,,45.145676,12.065795,,,,,,
2047,,Ca' Venier,,45.145229,12.066016,,,,,,
2048,,bivio Marcanta,,45.153088,12.057848,,,,,,
2049,,bivio Marcanta,,45.153225,12.057814,,,,,,
2050,,bivio S.R. 516,,45.152641,12.057492,,,,,,
2051,,bivio S.R. 516,,45.152756,12.057103,,,,,,
2052,,Pizzeria,,45.151848,12.049039,,,,,,
2053,,Pizzeria,,45.151646,12.049036,,,,,,
2054,,Scuola  Elementare,,45.148716,12.035334,,,,,,
2055,,Scuola  Elementare,,45.148994,12.035322,,,,,,
2056,,Tabacchi,,45.142017,12.022827,,,,,,
2057,,Tabacchi,,45.142349,12.022713,,,,,,
2058,,Rottanova Centro,,45.141476,12.013852,,,,,,
2059,,Rottanova  (ponte),,45.143974,12.014087,,,,,,
2060,,Rottanova  (ponte),,45.144135,12.014452,,,,,,
2061,,Ponte,,45.161911,11.999954,,,,,,
2062,,Ponte,,45.162018,12.000146,,,,,,
2063,,Conetta,,45.176670,11.996360,,,,,,
2064,,Conetta,,45.176598,11.996669,,,,,,
2065,,Cona Chiesa,,45.185513,12.019096,,,,,,
2066,,Cona Chiesa,,45.185493,12.018793,,,,,,
2067,,Incr. via Piera,,45.189114,12.038447,,,,,,
2068,,Incr. via Piera,,45.187172,12.037596,,,,,,
2069,,bivio Monsole,,45.206905,12.094780,,,,,,
2070,,bivio Monsole,,45.206905,12.095164,,,,,,
2071,,Monsole Centro,,45.201778,12.072740,,,,,,
2072,,Monsole Centro,,45.201637,12.072899,,,,,,
2073,,bivio Correzzola,,45.220779,12.113800,,,,,,
2074,,bivio Correzzola,,45.220203,12.112824,,,,,,
2075,,Fiume Bacchiglione,,45.228905,12.118565,,,,,,
2076,,Fiume Bacchiglione,,45.229107,12.118444,,,,,,
2077,,S. Margherita Centro,,45.242931,12.125108,,,,,,
2078,,S. Margherita Centro,,45.243080,12.124747,,,,,,
2079,,Villa Del Bosco,,45.215591,12.032373,,,,,,
2080,,Villa Del Bosco,,45.215416,12.032347,,,,,,
2081,,Pegolotte Centro,,45.193634,12.039517,,,,,,
2082,,Pegolotte Centro,,45.193630,12.039817,,,,,,
4587,,via Ca' Rossa,,45.348858,12.319654,,,,,,
4588,,Imbarco Ferry,,45.341656,12.309396,,,,,,
4589,,"Alberoni ""Chiesa""",,45.347122,12.317904,,,,,,
4590,,"Alberoni ""Chiesa""",,45.347221,12.318443,,,,,,
4591,,Golf Club,,45.345154,12.315077,,,,,,
4592,,Golf Club,,45.345154,12.315342,,,,,,
4593,,Sbarco Ferry,,45.341427,12.309233,,,,,,
4594,,Faro Rocchetta,,45.340984,12.309658,,,,,,
4595,,S. Maria Del Mare,,45.332634,12.317971,,,,,,
4596,,S. Maria Del Mare,,45.332775,12.317962,,,,,,
4597,,Belvedere,,45.323174,12.320036,,,,,,
4598,,Belvedere,,45.323395,12.320398,,,,,,
4599,,Di Botta,,45.318851,12.317818,,,,,,
4600,,Di Botta,,45.319019,12.318080,,,,,,
4601,,S. Pietro In Volta,,45.315151,12.315881,,,,,,
4602,,S. Pietro In Volta,,45.315346,12.316140,,,,,,
4603,,Incr. via Cimitero,,45.312630,12.314828,,,,,,
4604,,Incr. via Cimitero,,45.312805,12.315086,,,,,,
4605,,Porto Secco,,45.310135,12.313874,,,,,,
4606,,Porto Secco,,45.310356,12.314203,,,,,,
4607,,Localita' Mara,,45.301357,12.310891,,,,,,
4608,,Localita' Mara,,45.301598,12.311175,,,,,,
4609,,Vasche,,45.297134,12.309291,,,,,,
4610,,Vasche,,45.297485,12.309616,,,,,,
4611,,Ex Macello,,45.291706,12.307240,,,,,,
4612,,Ex Macello,,45.291866,12.307470,,,,,,
4613,,Piovini,,45.286125,12.305267,,,,,,
4614,,Piovini,,45.286110,12.305382,,,,,,
4615,,S. Antonio,,45.282776,12.304142,,,,,,
4616,,S. Antonio,,45.282990,12.304363,,,,,,
4617,,Brasiola,,45.276466,12.302516,,,,,,
4618,,Brasiola,,45.276733,12.302714,,,,,,
4619,,Scuola Elementare,,45.272434,12.301868,,,,,,
4620,,Scuola Elementare,,45.272522,12.302050,,,,,,
4621,,La Rosa - Pellestrina,,45.269348,12.301552,,,,,,
